Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
Scrypt,PoS,36971236046.8073, 99000000000,0.8704251264550364,0.6644387498751366,-0.2632228875487616,ZeitCoin,1
SHA-256,PoW/PoS,4377081.60953993,40000000,-0.31178801755251845,0.8278922709459441,-0.357556176532562,SwingCoin,1
Scrypt,PoC,2147483647.0,2147483647,-0.040908484797281236,-0.40970437995297226,-0.1991870503892701,SafeExchangeCoin,0
PoS,PoS,20000000.0,20000000,-0.3248674637884891,1.4828563550855685,-0.11689003133283267,Nebuchadnezzar,1
Scrypt,PoW,6570807.65677618,20000000,-0.16803063349660047,-1.1450697059704686,0.023034286693639095,Francs,0
X11,PoW,13654082.4987998,25000000,-0.2431220964397129,-0.8351708230290619,0.02698972107248269,BolivarCoin,0
X11,PoW/PoS,134554941.15119,75000000,-0.40840547911365105,1.2328772175760103,-0.5414025049616057,Ratecoin,1
SHA-256,PoW/PoS,1195525.0,222725000,-0.3105315124379789,0.8278025696901357,-0.35756211288233253,Revenu,1
SHA-256,PoW/PoS,16662820.0,525000000,-0.3081994176517788,0.8276599540149633,-0.3575793488671941,Clockcoin,1
NIST5,PoW/PoS,83450403.0,90000000,-0.3459592230266748,1.460559607233771,-0.5640642003884222,VIP Tokens,1
X11,PoW/PoS,24387724.5010828,139000000,-0.40929895994873566,1.2328154267926956,-0.5413655736849206,BitSend,1
Scrypt,PoW,616448.0,616448,-0.1682408654634262,-1.1450619427848985,0.023037167155102237,Omni,0
POS 3.0,PoS,38589808.6658096,33500000,-0.3384809478750466,1.4682218541743668,-0.08096765448729952,Let it Ride,1
Scrypt,PoW/PoS,813092338.575672,2000000000,-0.31124721043692766,0.9222311948104033,-0.5456779229676852,PutinCoin,1
Scrypt,PoW/PoS,4526324.0,44333333,-0.3349994402477277,0.9229565682777954,-0.5453129654866247,iBankCoin,1
Scrypt,PoW/PoS,100000000.0,100000000,-0.333437277020669,0.9229561016455293,-0.5453492736410627,Frankywillcoin,1
X13,PoS,5000000.0,200000000,-0.22802092941499497,1.5375668617743956,-0.33236644506085894,MudraCoin,1
X11,PoW,1377917.0,25000000,-0.24327221808306027,-0.8351742421005458,0.02699411251481564,PizzaCoin,0
